question_id,arm,difficulty,retrieval_type,parametric_known,abstained,retrieved_clauses,citations,answer,faithfulness,answer_relevancy,context_precision,context_recall
q05,B,hard,sibling_disambiguation,False,False,2.9.2;2.9.2;2.4.36-2.4.37,2.9.2,The maximum acid-insoluble ash permitted in Cardamom (Chhoti Elaichi) powder is not more than 3.0 percent by weight.,1.0,0.9999999999999998,0.9999999999,1.0
q05,C,hard,sibling_disambiguation,False,False,2.9.2;2.9.2;2.4.36-2.4.37,2.9.2,The maximum acid-insoluble ash permitted in Cardamom (Chhoti Elaichi) powder is not more than 3.0 percent by weight on a dry basis.,1.0,0.9999999999999998,0.49999999995,1.0
q06,A,easy,lexical,False,False,2.1.2;2.1.13;2.1.4,2.1.2,The total urea content in milk shall not be more than 700 ppm.,1.0,0.9181763415569488,0.9999999999,1.0
q06,B,easy,lexical,False,False,2.1.2;2.1.13;2.1.2,2.1.2,The total urea content in milk shall not be more than 700 ppm.,1.0,0.9181763415569488,0.8333333332916666,1.0
q06,C,easy,lexical,False,False,2.1.2;2.1.13;2.1.4,2.1.2,The total urea content in milk shall not be more than 700 ppm.,1.0,0.9209158565102705,0.9999999999,1.0
q07,A,easy,lexical,False,True,2.10.8-2.10.9;2.4.11;2.10.8-2.10.9,,The supplied context does not provide enough information to answer the question.,0.0,0.0,0.0,0.0
q07,B,easy,lexical,False,False,2.4.11;2.10.8-2.10.9;2.4.11,2.4.11,The maximum permitted level of Lecithins (INS 322) in formulated supplements for children is 1500 mg per 100 g of the product ready for consumption prepared following Manufacturer’s instruction.,1.0,1.0,0.3333333333,1.0
q07,C,easy,lexical,False,True,2.4.11;2.10.8-2.10.9;2.6.1,,The supplied context does not provide enough information to answer the question.,0.0,0.0,0.0,0.0
q08,A,easy,lexical,False,False,2.9.4;2.9.38-2.9.39;2.9.11,2.9.4,The maximum coumarin content permitted in cinnamon (Dalchini) on a dry basis is not more than 0.3 percent by weight.,1.0,0.9995045053805909,0.9999999999,1.0
q08,B,easy,lexical,False,False,2.9.4;2.9.32;2.7.2,2.9.4,The maximum coumarin content permitted in cinnamon (Dalchini) on a dry basis is not more than 0.3 percent by weight.,1.0,0.9995045053805909,0.9999999999,1.0
q08,C,easy,lexical,False,False,2.9.4;2.9.36;2.1.13,2.9.4,The maximum coumarin content permitted in cinnamon (Dalchini) on a dry basis is not more than 0.3 percent by weight.,1.0,0.9995045053805909,0.9999999999,1.0
q09,A,easy,lexical,False,False,2.9.13;2.2.1;2.4.19,2.9.13,"The minimum allyl isothiocyanate content required in Brassica nigra mustard seeds, on a dry basis, is not less than 1.0 percent by weight.",1.0,0.9995581222826634,0.9999999999,1.0
q09,B,easy,lexical,False,False,2.9.13;2.2.1;2.4.19,2.9.13,"The minimum allyl isothiocyanate content required in Brassica nigra mustard seeds, on a dry basis, is not less than 1.0 percent by weight.",1.0,0.9995581222826634,0.9999999999,1.0
q09,C,easy,lexical,False,False,2.9.13;2.4.19;2.9.8,2.9.13,The minimum allyl isothiocyanate content required in Brassica nigra mustard seeds on a dry basis is not less than 1.0 percent by weight.,1.0,0.9995581222826634,0.9999999999,1.0
q10,A,medium,semantic,True,False,2.1.12;2.1.10;2.1.24,2.1.12,Whey powder is permitted to retain a maximum of 5.0% (m/m) moisture.,1.0,0.8092820488371757,0.8333333332916666,1.0
q10,B,medium,semantic,True,False,2.1.12;2.3.63-2.3.65;2.3.44,2.1.12,Whey powder is permitted to retain a maximum of 5.0% (m/m) moisture.,1.0,0.8105792825339113,0.9999999999,1.0
q10,C,medium,semantic,True,False,2.1.10;2.1.12;2.1.21,2.1.12,Whey powder is permitted to retain a maximum of 5.0% (m/m) moisture.,1.0,0.8027650815770404,0.49999999995,1.0
q11,A,medium,semantic,False,False,2.4.1;2.4.17-2.4.18;2.10.8-2.10.9,2.4.1,The maximum amount of water (moisture) permitted in wheat flour (atta) is not more than 14.0 % by mass.,0.5,0.9183763013944541,0.9999999999,1.0
q11,B,medium,semantic,False,False,2.4.1;2.4.36-2.4.37;2.4.2,2.4.1,The maximum moisture permitted in Wheat Flour (Atta) is 14.0% by mass.,1.0,0.9097551568167126,0.8333333332916666,1.0
q11,C,medium,semantic,False,False,2.4.1;2.4.22;2.4.36-2.4.37,2.4.1,The maximum amount of water (moisture) permitted in wheat flour (atta) is not more than 14.0% by mass.,0.5,0.9115459882374156,0.9999999999,1.0
q12,A,medium,semantic,True,False,2.9.6;2.9.35;2.9.16-2.9.17,2.9.6,"For ground cloves (Cloves powder), the maximum share of mineral residue that survives dilute acid treatment (ash insoluble in dilute HCl on dry basis) is not more than 0.5 percent by weight.",1.0,0.9116762001898816,0.9999999999,1.0
q12,B,medium,semantic,True,False,2.9.6;2.2.1;2.9.35,2.9.6,"For ground cloves, the maximum share of mineral residue that survives dilute acid treatment (ash insoluble in dilute HCl on dry basis) is not more than 0.5 percent by weight.",1.0,0.8969203406644171,0.9999999999,1.0
q12,C,medium,semantic,True,False,2.9.6;2.9.16-2.9.17;2.9.35,2.9.6,"For ground cloves (Cloves powder), the maximum share of ash insoluble in dilute HCl on a dry basis is not more than 0.5 percent by weight.",1.0,0.8611589295230618,0.9999999999,1.0
q13,A,hard,multi_hop,False,True,2.2.8-2.2.9;2.2.4;2.2.1,,The supplied context does not provide enough information to answer the question regarding the Reichert Meissl value and Polenske value for the fat extracted from Khoa.,1.0,0.0,0.0,0.0
q13,B,hard,multi_hop,False,False,2.1.6;2.2.8-2.2.9;2.2.4,2.1.6,"The extracted fat from Khoa must meet the standards for Reichert Meissl value, Polenske value, and Butyro-refractometer reading as prescribed for ghee.",1.0,0.7895607032497146,0.0,0.0
q13,C,hard,multi_hop,False,False,2.1.6;2.1.8;2.2.8-2.2.9,2.1.6;2.1.8,"The extracted fat from Khoa must meet the standards prescribed for ghee, which require a minimum Reichert Meissl value of 24.0 and a Polenske value of 0.5 -2.0.",1.0,0.9218114737473626,0.49999999995,1.0
q14,A,hard,multi_hop,False,True,2.2.1;2.2.4;2.2.4,,The supplied context does not provide enough information to answer the question.,0.25,0.0,0.0,0.0
q14,B,hard,multi_hop,False,False,2.1.9;2.2.4;2.2.4,2.1.9,The extracted fat from butter must meet the standards for Reichert Meissl value and Butyro-refractometer reading as prescribed for ghee.,1.0,0.7857281413179693,0.0,0.0
q14,C,hard,multi_hop,False,False,2.2.1;2.1.8;2.2.1,2.1.8,The fat extracted from butter must have a Butyro-refractometer reading at 40 ˚C of 40.0 to 44.0 and a minimum Reichert Meissl value of 24.0.,1.0,0.9624703941711521,0.49999999995,1.0
q15,A,hard,multi_hop,False,False,2.4.2;2.4.1;2.4.17-2.4.18,2.4.1;2.4.2,"The maximum total ash permitted in Atta is 2.0% by mass (on dry basis), whereas the maximum total ash permitted in Maida is 1.0% on dry mass.",1.0,0.83001483144214,0.0,1.0
q15,B,hard,multi_hop,False,False,2.4.2;2.4.1;2.4.36-2.4.37,2.4.1;2.4.2,"The maximum total ash permitted in Atta is 2.0% by mass (on dry basis), whereas for Maida it is 1.0% on dry mass.",1.0,0.8388998142483555,0.0,1.0
q15,C,hard,multi_hop,False,False,2.4.2;2.4.1;2.4.36-2.4.37,2.4.1;2.4.2,"The maximum total ash permitted in Atta is 2.0% by mass (on dry basis), whereas for Maida it is 1.0% on dry mass.",1.0,0.8388998142483555,0.0,1.0
